,key,timestamp
0,j,1108.257
1,d,1388.4389999999999
2,k,1599.2939999999999
3,u,2403.486
4,u,2576.446
5,a,2840.458
6,i,3030.2909999999997
7,z,3238.7169999999996
8,p,3450.3999999999996
9,o,3741.268
10,m,4091.431
11,w,4439.266
12,n,4688.415
13,q,4948.217
14,j,5141.275
15,d,5516.215999999999
16,h,5797.23
17,y,6079.163
18,r,6382.141
19,u,6637.4
20,t,6806.593
21,l,6979.063
22,i,7216.3009999999995
23,a,7413.186
24,n,7615.071
25,w,7921.1539999999995
26,b,8181.388999999999
27,n,8188.1269999999995
28,b,9480.149
29,q,9668.155999999999
30,x,9893.067
31,v,10085.038999999999
32,c,10247.094
33,n,10455.932999999999
34,j,10821.981
35,u,11109.987
36,d,11286.882
37,l,11486.034
38,i,11684.838
39,e,11835.994999999999
40,n,12026.952
41,a,12232.869999999999
42,j,12594.847
43,u,12830.895999999999
44,l,12997.068
45,i,13096.929
46,a,13279.903
47,n,13452.608999999999
48,w,13673.904999999999
49,s,13902.84
50,b,14176.891
51,e,14381.813999999998
52,v,14565.929
53,r,14740.840999999999
54,n,15168.831999999999
55,j,15402.804
56,u,15607.723
57,l,15954.563999999998
58,i,16209.846
59,k,16855.744
60,a,17061.585
61,j,17252.772
62,e,17653.621
63,n,17843.613999999998
64,a,18049.712
65,m,18295.506999999998
66,p,18526.644
67,o,18798.539
68,q,19134.405
69,l,19389.55
70,l,19582.582
71,k,19811.57
72,d,20037.551
73,h,20421.453999999998
74,r,20591.499
75,j,20756.409
76,u,20938.57
77,l,21136.412
78,i,21349.159
79,a,21555.949
80,n,21763.309999999998
81,w,21999.516
82,b,22326.678
83,x,22501.445
84,d,22958.481
85,e,23251.389
86,r,23441.644
87,t,23693.290999999997
88,z,23976.613999999998
89,h,24177.416999999998
90,y,24467.511
91,s,24709.539999999997
92,u,24925.392
93,j,25161.155
94,p,25770.406
95,p,25899.25
96,p,26151.372
97,a,26426.547
98,m,26624.408
99,l,26901.322
100,k,27208.305
101,s,27762.243
102,j,27979.380999999998
103,d,28259.247
104,f,28721.109
105,u,29018.174
106,r,29152.224
107,l,29266.817
108,j,29812.118
109,u,29997.307999999997
110,l,30104.244
111,i,30204.105
112,a,30434.341
113,n,30614.004999999997
114,w,30870.040999999997
115,Key.space,31105.14
116,w,32510.228
117,w,32780.066999999995
118,w,33134.824
119,a,34392.043
120,z,34670.956999999995
121,z,34884.602999999996
122,e,35166.83
123,d,35747.015999999996
124,d,35998.695999999996
125,h,36253.965
126,r,36454.914
127,y,36647.814999999995
128,t,36786.498
129,u,36967.704
130,f,37170.886999999995
131,j,37358.708999999995
132,i,37587.818
133,p,37944.704
134,p,38117.86
135,m,38308.797999999995
136,m,38482.890999999996
137,l,38751.803
138,k,39023.741
139,j,39417.686
140,n,39563.689999999995
141,k,39706.952
142,n,39916.566999999995
143,j,40058.746999999996
144,b,40228.640999999996
145,k,40389.621999999996
146,v,40592.718
147,h,40889.691
148,c,41107.396
149,g,41274.634999999995
150,w,42047.824
151,s,42229.475999999995
152,q,42346.708999999995
153,e,42524.61
154,a,42660.683
155,z,42866.691
156,r,43055.646
157,s,43252.479999999996
158,f,43446.615
159,r,43828.619999999995
160,d,43950.534999999996
161,g,44134.4
162,t,44479.405
163,f,44620.386999999995
164,h,44763.434
165,r,44881.523
166,y,44997.554
167,g,45168.401
168,j,45334.287
169,t,45496.573
170,u,45618.42
171,h,45953.405999999995
172,l,46179.464
173,o,46494.273
174,u,46628.78
175,m,46789.166
176,j,46904.987
177,p,47043.367
178,i,47188.246999999996
179,l,47357.981
180,k,47650.28
181,j,47938.381
182,n,48147.085999999996
183,b,48477.39
184,v,49130.066
185,c,49521.282
186,v,49793.439999999995
187,c,49957.206999999995
188,b,50152.960999999996
189,x,50310.257999999994
190,n,50474.198
191,w,50890.100999999995
192,v,51175.373
193,x,51383.064
194,b,51546.288
195,w,51736.945
196,n,52099.992
197,x,52301.11
198,b,52484.006
199,c,52665.043999999994
200,v,52837.018
201,d,53045.530999999995
202,f,53223.257
203,w,53448.261
204,w,53669.903
205,c,53867.841
206,q,54048.003
207,d,54202.922999999995
208,s,54345.121999999996
209,x,54547.685
210,a,54766.398
211,z,55002.479
212,q,55151.935
213,e,55304.793
214,s,55474.672
215,d,56286.939999999995
216,d,56496.712999999996
217,s,56664.424999999996
218,f,56846.431
219,c,57027.475
220,g,57205.352999999996
221,b,57485.846
222,v,57647.88
223,n,57812.806
224,b,58589.826
225,m,58846.365999999995
226,m,59058.29
227,n,59278.784999999996
228,l,59404.628
229,l,59599.498999999996
230,j,59802.172
231,p,60001.649
232,k,60174.808
